Date,Open,High,Low,Close
1-Jan-96,407,407.9,405,407.9
2-Jan-96,407,409,406.25,406.25
3-Jan-96,409,409,409,409
4-Jan-96,405,407,405,406.3
5-Jan-96,401.5,401.5,401.5,401.5
8-Jan-96,401.5,405,402,404
9-Jan-96,404,400,395,399.5
10-Jan-96,399.5,397,395,396
11-Jan-96,399,405,396,405
12-Jan-96,403,403,400,402.75
15-Jan-96,397.5,402,397.5,398.25
16-Jan-96,398.25,400,365,400
17-Jan-96,400,401,395,396.2
18-Jan-96,396.2,397.5,394,397.5
19-Jan-96,395,395,393.25,393.5
22-Jan-96,395,397.5,395,397.5
23-Jan-96,393,400,393,396.25
24-Jan-96,396.25,394.5,385.5,394.5
25-Jan-96,394.75,394.75,393,393
29-Jan-96,392,392,390.75,390.75
30-Jan-96,390.75,397,395,395.5
31-Jan-96,395.5,400,393,400
1-Feb-96,400,415,400,415
2-Feb-96,415,430,415,429.95
5-Feb-96,429.95,431,420.05,430
6-Feb-96,430,452.5,430,440
7-Feb-96,440,432,427,428.3
8-Feb-96,435,455,435,455
9-Feb-96,455,475,425,472.35
12-Feb-96,472.35,479,465,467
13-Feb-96,480,490,480,490
14-Feb-96,490,512.5,487,508.5
15-Feb-96,508.5,515,490,513.3
16-Feb-96,513.3,520,494.25,514.75
19-Feb-96,514.75,505,503,504.1
20-Feb-96,504.1,502.5,496,496.1
22-Feb-96,496.1,498,492.15,492.25
23-Feb-96,492.25,497,492,497
26-Feb-96,497,500,494.75,500
27-Feb-96,500,487.5,475,475
28-Feb-96,475,476,476,476
29-Feb-96,476,470,468,469
1-Mar-96,469,475,460,472.5
4-Mar-96,475,480,475,480
6-Mar-96,487.9,487.9,466.5,466.5
7-Mar-96,466.5,480,469.95,480
8-Mar-96,480,483.95,476,483.95
11-Mar-96,483.95,480,477.05,479
12-Mar-96,479,480,470,480
13-Mar-96,480,475.2,468.5,468.5
14-Mar-96,468.5,480,479.75,480
15-Mar-96,480,478.05,478,478
18-Mar-96,478,480,478,478.7
19-Mar-96,478.7,480,475,480
21-Mar-96,480,483.7,478.5,478.5
22-Mar-96,478.5,487,482.05,484.7
25-Mar-96,484.7,479.9,471.5,479
26-Mar-96,479,478,472.6,472.6
27-Mar-96,472.6,480,476,476
28-Mar-96,476,486.05,485,486.05
29-Mar-96,486.05,503.95,490,502.95
2-Apr-96,502.95,505,499,505
3-Apr-96,505,507,501,501
4-Apr-96,501,500,500,500
8-Apr-96,500,502.9,500,502.9
9-Apr-96,502.9,530,506,528.5
10-Apr-96,528.5,582,555.05,557.5
11-Apr-96,557.5,556,545,551
12-Apr-96,551,560,548.05,559.4
15-Apr-96,559.4,600,560,594
16-Apr-96,594,625,590,617.8
17-Apr-96,617.8,655,620,648.1
18-Apr-96,648.1,674.9,630.5,640.9
19-Apr-96,640.9,651,632.5,636
22-Apr-96,636,635,620,621
23-Apr-96,621,625,615,623.6
24-Apr-96,623.6,650,631,636.05
25-Apr-96,636.05,643.5,635.05,635.1
26-Apr-96,635.1,644,626.3,633.55
29-Apr-96,633.55,632,626.9,629
30-Apr-96,629,634.75,626.5,630.5
1-May-96,630.5,633,629,630.5
2-May-96,630.5,660,634,642
3-May-96,642,648,635,642.25
6-May-96,642.25,648.75,637.5,646.4
7-May-96,646.4,650,640.25,650
8-May-96,650,664,645,658.7
9-May-96,658.7,704.5,647.05,676.35
10-May-96,676.35,693.5,655,687.75
13-May-96,687.75,698.65,681.1,687.35
14-May-96,687.35,689.9,674,683.95
15-May-96,683.95,688.7,668,674.9
16-May-96,674.9,693,681,681.8
